,primary_keys,property_types,prices,zipcodes,street_names,localities,bedrooms,bathrooms,living_areas (m2),equipped_kitchens,furnisheds,garden_surfaces (m2),surface_plots (m2),building_conditions,energy_classes
229,9973477,apartment,289000,4680,"Rue Elvaux 124
    
        Box 21",Oupeye,1,1,99,Hyper equipped,Yes,,,As new,A
230,9969545,apartment,295000,1050,"Avenue Franklin Roosevelt 268
    
        Box 3",Ixelles,1,1,68,Installed,Yes,,,Good,D
231,9960604,new-real-estate-project-apartments,1450000,1180,,<built-in method strip of str object at 0x7fa7ad248c30>,,,,,,,,,B
232,9989830,house,345000,9890,Egmont Park 13,Gavere,3,2,171,Hyper equipped,No,15,195,As new,A
233,9989831,house,350000,9890,Egmont Park 11,Gavere,3,2,174,Hyper equipped,No,15,198,As new,A
234,9989825,house,350000,9890,Egmont Park 17,Gavere,3,2,174,Hyper equipped,No,15,198,As new,A
235,9989823,house,355000,9890,Egmont Park 15,Gavere,3,2,176,Hyper equipped,No,15,200,As new,A
236,9989829,house,380000,9890,Egmont Park 19,Gavere,3,2,197,Hyper equipped,No,16,223,As new,A
237,9989193,duplex,339000,5060,"Rue du Centre 33
    
        Box 4.2",Sambreville,2,1,187,Installed,No,,,As new,A
238,9979228,penthouse,665000,9000,"Stapelplein 80
    
        Box 15.2",Gent,2,2,131,Not installed,No,,,As new,Not specified
239,9988682,flat-studio,185000,1040,Rue du Cornet 199,Etterbeek,,1,31,USA installed,No,,,Good,D
240,9962816,apartment,295000,1600,"Kerkplein 41
    
        Box 2",Sint-pieters-leeuw,3,1,152,Installed,No,,,To be done up,C
241,9988648,apartment,6812000,1030,Avenue Eugène Plasky 144,Schaerbeek,28,28,1600,Installed,No,,,Just renovated,Not specified
242,9981659,house,369500,4557,Rue de Liège 20,FRAITURE,3,1,150,Semi equipped,No,880,1010,As new,C
243,9990882,apartment,165000,7900,Rue de l'Araucaria 29,Leuze-En-Hainaut,1,1,60,Installed,No,,,Good,B
244,9973241,apartment,325000,1400,Rue Octave Grillaert 3,Nivelles,3,2,118,Hyper equipped,No,,,As new,D
245,9994960,apartment,340000,9000,Schoolkaai 5,Gent,2,1,105,Semi equipped,No,,,To renovate,B
246,9981211,service-flat,365000,9000,"Sint-Michielsstraat 13A
    
        Box 102",Gent,2,1,112,Hyper equipped,No,,,As new,A
247,9977054,apartment,220000,1090,Avenue Henri Liebrecht 33,Jette,2,1,94,Not installed,No,,,To renovate,F
248,9981032,apartment,230000,1070,Rue de l'Instruction 120,Anderlecht,2,1,79,Installed,No,,,Good,G
249,9976047,house,455000,1653,Beling 67,Beersel Dworp,4,1,180,Hyper equipped,,55,145,As new,A
250,9970936,penthouse,495000,1140,Avenue des Communautes 4,Evere,2,2,125,USA hyper equipped,No,,,As new,B
251,9987040,apartment-block,1465000,1070,Avenue Theo Verbeeck 73,Anderlecht,5,5,420,Semi equipped,No,,119,To be done up,F
252,9991185,house,169000,6887,Rue de la Hulette 6,Herbeumont,2,1,90,USA installed,No,,100,Just renovated,F
253,9991096,house,259000,7100,Rue du Tir 34,La Louviere,3,1,177,Installed,No,,429,As new,D
254,9992797,house,275000,9500,Zavelstraat 85,OVERBOELARE,3,1,95,Installed,No,,2020,Good,D
255,9992796,mixed-use-building,275000,9500,Zavelstraat 85,OVERBOELARE,3,1,95,Installed,No,,2020,Good,D
256,9992781,bungalow,275000,9500,Zavelstraat 85,OVERBOELARE,3,1,95,Installed,No,,2020,Good,D
257,9930196,villa,315000,1490,Rue de Faux 51,Court-saint-©tienne,2,1,104,Installed,No,,1100,Good,E
258,9992284,house,355000,1640,Bellemansheide 36,Sint-Genesius-Rode,3,2,180,Not installed,No,,650,To restore,F
259,9992262,villa,649900,2390,Salphensebaan 22,Malle,4,2,240,Installed,No,1000,1349,Good,E
260,9950164,house,695000,1200,Avenue Des Créneaux - Kantelenlaan 5,Sint-Lambrechts-Woluwe,3,2,176,Installed,No,100,162,As new,E
261,9992741,house,795000,1170,Avenue des Lucioles 2,Watermael-Boitsfort,4,1,180,Installed,No,160,209,,D
262,9992244,villa,945000,2300,Pieter Heuvelmansstraat 13,Turnhout,4,2,442,Hyper equipped,No,,741,As new,A
263,9992259,villa,1189000,2570,A. Stocletlaan 225,Duffel,5,1,432,Installed,No,,1650,As new,C
264,9985581,duplex,380000,1081,"Avenue du Sippelberg 8B
    
        Box F51",Koekelberg,3,2,120,USA installed,No,,,As new,D
265,9972986,apartment,169000,4500,"Rue Entre-Deux-Portes 57
    
        Box  11",Huy,2,,85,Semi equipped,No,,,Good,B
266,9971824,new-real-estate-project-apartments,169995,1180,Rue de l'Étoile 92,Uccle,,,,,,,,,Not specified
267,9950337,new-real-estate-project-apartments,209900,2220,Stationsstraat,Heist-op-den-Berg,,,,,,,,,Not specified
268,9950359,new-real-estate-project-apartments,224900,2830,Gieterijstraat 1,Willebroek,,,,,,,,,Not specified
269,9973191,apartment,225000,2660,"Antwerpsesteenweg 281
    
        Box  1v",Hoboken,2,1,81,Installed,No,,,As new,B
270,9972991,house,249000,4400,Rue Fays 144,Ivoz-Ramet,3,1,92,Installed,No,195,309,Good,G
271,9973224,house,269000,9600,Savooistraat 75,Ronse,3,1,152,Installed,No,315,482,Good,E
272,9973024,apartment,280000,1080,Boulevard Louis Mettewie 67,Molenbeek-Saint-Jean,3,2,140,Hyper equipped,No,,,Good,D
273,9973022,apartment,299000,1020,"Avenue de la Brise 32
    
        Box 11",Bruxelles,3,1,98,USA hyper equipped,,,,As new,G
274,9973630,house,350000,1930,MECHELSESTEENWEG 506,NOSSEGEM,4,1,197,Installed,No,,260,To renovate,F
275,9976713,penthouse,695000,9000,"Stapelplein 80
    
        Box 15.3",Gent,2,2,134,Not installed,No,,,As new,Not specified
276,9988124,apartment,169000,2830,"Overwinningsstraat 50
    
        Box  302",Willebroek,1,1,45,Semi equipped,No,,,Good,D
277,9978989,house,189000,4870,Rue Moirivay 21,Trooz,2,1,156,Not installed,No,500,726,To renovate,C
278,9978987,house,189000,4877,Rue Moirivay 21,Olne,2,1,156,Not installed,No,500,726,To renovate,C
279,9979230,house,295000,6020,Cite Dandoy 11,Charleroi,3,1,165,Installed,No,100,299,As new,B
280,9979002,house,369000,1030,"Rue Guido Gezelle 44
    
        Box 1",Schaerbeek,4,1,145,Semi equipped,No,,75,To be done up,G
281,9979227,apartment-block,765000,9000,Nieuwland 49,Gent,6,6,124,USA semi equipped,No,,59,Good,C
282,9902498,house,850000,1410,"Chaussee de Bruxelles 628
    
        Box V6",Waterloo,4,3,261,USA hyper equipped,No,890,890,As new,B
283,9979564,apartment-block,895000,1090,Avenue Carton de Wiart 64,Jette,9,9,270,Not installed,No,,70,To renovate,E
284,9978839,villa,895000,3078,Kruisstraat 135,Everberg,5,2,250,Hyper equipped,No,500,1000,As new,C
285,9983244,house,235000,4140,Rue du Cimetière 24,Sprimont,2,1,130,Installed,No,300,446,To be done up,D
286,9984889,mixed-use-building,242000,9550,Hoogstraat 13,Herzele,5,2,245,Semi equipped,No,,231,To renovate,D
287,9984885,house,242000,9550,Hoogstraat 13,Herzele,5,2,245,Semi equipped,No,,231,To renovate,D
288,9976991,penthouse,649000,1180,Chaussee de Waterloo 1329B,Uccle,4,2,145,USA installed,,,,Good,F
289,9991958,apartment,700000,1050,Rue Defacqz 118,Ixelles,4,2,140,Hyper equipped,No,700,,Good,D
290,9899651,apartment,185000,9600,"Saint-Sauveurstraat 63
    
        Box 202",Ronse,2,1,84,Hyper equipped,No,,,As new,A
291,9978995,apartment,190000,1140,Rue Edouard Dekoster 64,Evere,2,1,81,Installed,No,,,To be done up,F
292,9929998,apartment,240000,1070,"rue de la Laiterie 90
    
        Box 18",Anderlecht,2,1,80,USA hyper equipped,No,,,As new,C
293,9091312,apartment,245000,1090,"Clos René Magritte 1
    
        Box 01/2",Jette,1,1,71,Hyper equipped,No,,,As new,B
294,9964690,apartment,249000,1080,Boulevard Louis Mettewie 77,Molenbeek-saint-jean,3,1,137,Not installed,No,,,Good,D
295,9967309,apartment,260000,2580,"Mechelbaan 508
    
        Box  6",Putte,2,1,125,Installed,No,,,Good,B
296,9935230,apartment,275300,1090,"Rue Esseghem 3,1.01",Jette,1,1,75,USA hyper equipped,No,,,As new,B
297,9935244,apartment,277300,1090,"Rue Esseghem 3,1.03",Jette,2,1,81,USA hyper equipped,No,,,As new,B
298,9857729,apartment,293000,4683,"Rue de la Digue 82
    
        Box  21",Vivegnis,3,1,150,Not installed,No,,,Good,A
299,9941391,apartment,303500,8000,"Dudzeelse Steenweg 125
    
        Box 02.01",Brugge,2,1,109,Hyper equipped,No,,,As new,A
